U+5F03	弃	qì
U+51B6	冶	yě
U+5FD8	忘	wàng
U+95F0	闰	rùn
U+95F2	闲	xián
U+95F4	间	jiān,jiàn
U+95F7	闷	mēn,mèn
U+5224	判	pàn
U+5151	兑	duì
U+7076	灶	zào
U+707F	灿	càn
U+707C	灼	zhuó
U+5F1F	弟	dì
U+6C6A	汪	wāng
U+6C90	沐	mù
U+6C9B	沛	pèi
U+6C70	汰	tài
U+6CA5	沥	lì
U+6C99	沙	shā,shà
U+6C7D	汽	qì
U+6C83	沃	wò
U+6CA6	沦	lún
U+6C79	汹	xiōng
U+6CDB	泛	fàn
U+6CA7	沧	cāng
U+6CA1	没	méi,mò
U+6C9F	沟	gōu
U+6CAA	沪	hù
U+6C88	沈	shěn
U+6C89	沉	chén
U+6C81	沁	qìn
U+6000	怀	huái
U+5FE7	忧	yōu
U+5FF1	忱	chén
U+5FEB	快	kuài
U+5B8C	完	wán
U+5B8B	宋	sòng
U+5B8F	宏	hóng
U+7262	牢	láo
U+7A76	究	jiū
U+7A77	穷	qióng
U+707E	灾	zāi
U+826F	良	liáng
U+8BC1	证	zhèng
U+542F	启	qǐ
U+8BC4	评	píng
U+8865	补	bǔ
U+521D	初	chū
U+793E	社	shè
U+7940	祀	sì
U+8BC6	识	shí,zhì
U+8BC8	诈	zhà
U+8BC9	诉	sù
U+7F55	罕	hǎn
U+8BCA	诊	zhěn
U+8BCD	词	cí
U+8BD1	译	yì
U+541B	君	jūn
U+7075	灵	líng
U+5373	即	jí
U+5C42	层	céng
U+5C41	屁	pì
U+5C3F	尿	niào,suī
U+5C3E	尾	wěi,yǐ
U+8FDF	迟	chí
U+5C40	局	jú
U+6539	改	gǎi
U+5F20	张	zhāng
U+5FCC	忌	jì
U+9645	际	jì
U+9646	陆	liù,lù
U+963F	阿	ā,ē
U+9648	陈	chén
U+963B	阻	zǔ
U+9644	附	fù
U+5760	坠	zhuì
U+5993	妓	jì
U+5999	妙	miào
U+5996	妖	yāo
U+59CA	姊	zǐ
U+59A8	妨	fáng
